ticker,name,aliases
MADHURIND,Madhur Industries Limited,Madhur Industries Ltd
AGRODUTCH,Agro Dutch Industries Ltd.,Agro Dutch Industries Ltd
KINGIAQ,Kings International Aqua -Marine Ex,Kings International Aqua-Marine Exports Ltd
TARAI,Tarai Foods Ltd.,Tarai Foods Ltd
MODAIRY,Modern Dairies Ltd.,Modern Dairies Ltd
PRUSRJG,Prudential Sri Jagannath Agro-Tech,Prudential Sri Jagannath Agro Ltd
CORBIOT,Coromondal Biotech Industries (Indi,Coromandal Biotech Industries (India) Ltd
BAMBINO,Bambino Agro Industries Ltd,Bambino Agro Industries Ltd
PRIMIND,Prime Industries Ltd.,Prime Industries Ltd
TROMBOEXT,Trombo Extractions Limited,Trombo Extractions Ltd
SVRNAQU,Suvarna Aqua Farm & Exports Ltd.,Suvarna Aqua Farms & Exports Ltd
VIKASWSP,Vikas WSP Ltd.,Vikas WSP Ltd
PATELFD,Patel Food Product Ltd.,Patel Food Product Ltd
SYPAGFD,SYP Agro Foods Ltd.,SYP Agro Foods Ltd
SARVIND,Sarvottam Industries Limited,Sarvottam Industries Ltd
BHAGVEG,Bhaagyalakshmi Vegetable Products L,Bhagyalakshmi Vegetable Products Ltd
JATALIA,JATALIA GLOBAL VENTURES LIMITED,Jatalia Global Ventures Ltd
WESTFRT,Western Fruits & Vegetables Ltd.,Western Fruits & Vegetables Ltd
MURLIIND,Murli Industries Ltd.,Murli Industries Ltd
PANASAG,Pan Asia Global Ltd.,Pan Asia Global Ltd
DHARNAG,Dharnendra Agro Food Industries Ltd,Dharnendra Agro Foods Industries Ltd
INDDAIRDM,Indiana Dairy Specialities Ltd.,Indiana Diary Specialities Ltd
VSFPROJ,VSF Projects Limited,VSF Projects Ltd
RLAGRO,R.L.Agrotech ltd.,RL Agrotech Ltd
MLKPIL,Milk Partners India Limited,Milk Partners India Ltd
NUTCHAG,Nutech Agros Ltd.,Nutech Agros Ltd
KLMARAG,Kalyan Marine & Agro Products Ltd,Kalyan Marine & Agro Products Ltd
MRTPLST,Maruti Plastics Ltd.,Maruti Plastics Ltd
SWAIVAN,Swaika Vanaspati Products Limited,Swaika Vanaspati Prod Ltd
AMPRPRO,Ampro Products Ltd.,Ampro Products Ltd
GJTAQFD,Gujarat Aqua Industries Ltd.,Gujarat Aqua Industries Ltd
BHAKIND,Bhakra Industries Ltd.,Bhakra Industries Ltd
GPINDUS,G.P.Industries Ltd.,GP Industries Ltd
BANSTEA,Bansisons Tea Industries Ltd.,Bansisons Tea Industries Ltd
SHISRAG,Shri Ishar Agro Ltd,Shri Ishar Agro Ltd
TRFJTFD,Tirumala -Fujitech Aquafarms Ltd.,Tirumala Fujitech Aquafarms Ltd
POONADAL,Poona Dal And Oil Industries Ltd.,Poona Dal & Oil Industries Ltd
IDANFDF,Indian Food Fermentations Ltd.,Indian Food Fermentations Ltd
TRANSFD,Transglobe Foods Ltd.,Transglobe Foods Ltd
SOMKAFD,Somkan Marine Foods Ltd.,Somkan Marine Foods Ltd
VIMALOIL,Vimal Oil & Foods Ltd.,Vimal Oil & Foods Ltd
RMIFOOD,RMI Foods LTD.,RMI Foods Ltd
MEHARDT,Mehar Dairy Industries Ltd,Mehar Dairy Industries Ltd
WINFAGR,Winfarm Agro Industries Ltd.,Winfarm Agro Industries Ltd
ANIKINDS,Anik Industries Limited,Anik Industries Ltd
SAWNTFD,Sawant Food Product Ltd.,Sawant Food Products Ltd
IDUSFOD,Indus Foods Ltd.,Indus Foods Ltd
EASTOVR,Eastern Overeseas Ltd.,Eastern Overseas Ltd
DALMIAIN,Dalmia Industries Ltd.,Dalmia Industries Ltd
HARSM,Haryana Suraj Maltings Ltd.,Haryana Suraj Maltings Ltd
SHINDL,Sharat Industries Ltd.,Sharat Industries Ltd
CENTPRTDM,Century Proteins Ltd.,Century Proteins Ltd
INDOAQA,Indo Aquatics Ltd.,Indo Aquatics Ltd
MILKSPL,Milk Specialities Ltd.,Milk Specialities Ltd
SANJAG,Sanjivani Agro Industries Ltd.,Sanjivani Agro Industries Ltd
UNILIFD,Uniliv Foods Ltd.,Uniliv Foods Ltd
SURSF,Suryachakra Seafoods Ltd.,Suryachakra Seafoods Ltd
DATIWARE,DATIWARE MARITIME INFRA LIMITED,Datiware Maritime Infra Ltd
KMGMILK,KMG Milk Food Limited,KMG Milk Food Ltd
MONESHIA,Moneshi Agro Industries Ltd,Moneshi Agro Industries Ltd
MAYAGRP,Maya Agro Products Ltd.,Maya Agro Products Ltd
KSE,KSE Ltd.,KSE Ltd
HERMMLK,Herman Milkfoods Ltd.,Herman Milkfoods Ltd
PRAKSOV,Prakash Solvent Extractions Ltd.,Prakash Solvent Extraction Ltd
MAHVIFD,Mahavira Foods Ltd.,Mahavira Foods Ltd
VAFAGRO,Vafa Agro Ltd.,Vafa Agro Ltd
PIONAGR,Pioneer Agro Extracts ltd.,Pioneer Agro Extracts Ltd
JAIDIND,Jaidka Industries Ltd.,Jaidka Industries Ltd
THAPOIL,Thapar Oils & Fats Ltd.,Thapar Oils & Fats Ltd
PAWANPR,Pawan Proteins Ltd.,Pawan Proteins Ltd
PRIMSOL,Prime Solvent Extractions Ltd,Prime Solvent Extractions Ltd
SHRSHAK,Shree Shakti Agro Oils Ltd.,Shree Sakthi Agro Oils Ltd
VADIDAI,Vadilal Dairy International Ltd.,Vadilal Dairy International Ltd
NARBADA,Narbada Gems and Jewellery Limited,Narbada Gems and Jewellery Ltd
VIRATCRA,Virat Crane Industries Ltd,Virat Crane Industries Ltd
CHAKVEG,Chakan Vegoils Ltd.,Chakan Vegoils Ltd
IBINFO,IB Infotech Enterprises Ltd,IB Infotech Enterprises Ltd
AVIINDSDM,AVI Industries Ltd.,AVI Industries Ltd
RATVA,Rattan Vanaspati ltd.,Rattan Vanaspati Ltd
AMBARPIL,Ambar Protein Industries Limited,Ambar Protein Industries Ltd
TRILLENT,Trillenium Technologies Ltd.,Trillenium Technologies Ltd
CHORDIA,Chordia Food Products Ltd,Chordia Food Products Ltd
CIANAGRO,CIAN Agro Industries & Infrastructure Limited,CIAN Agro Industries & Infrastructure Ltd
OMEAG,Omega Ag-Seeds (Punjab) ltd.,Omega Ag-Seeds Punjab Ltd
MIHIJAM,Mihijam Vanaspati Ltd.,Mihijam Vanaspati Ltd
TAIIND,Tai Industries Ltd.,TAI Industries Ltd
KOHINOORT,Kohinoor Techno Engineers Limited,Kohinoor Techno Engineers Ltd
SH.ANJY,Shri Anjaney Agro Foods Ltd.,Shri Anjaney Agro Foods Ltd
OCEAGRO,Ocean Agro (India) Limited,Ocean Agro India Ltd
NKIND,N.K.Industries Ltd.,NK Industries Ltd
TRATF,Trans Techno Foods Ltd.,Trans Techno Foods Ltd
GLBLFDS,Global Foods Ltd.,Global Foods Ltd
BKV,BKV Industries Ltd.,BKV Industries Ltd
MAHINDL,Mahadev Industries Ltd.,Mahadev Industries Ltd
NCCBLUE,NCC Bluewater Products Ltd.,NCC Bluewater Products Ltd
GENUINC,Genuine Commodities Development Co.,Genuine Commodities Dev Company Ltd
ANMOLDY,Anmol Dairy Ltd.,Anmol Dairy Ltd
DRMSY,Dr.M. Soy & General Food Ltd.,Dr M Soy & General Food Ltd
RAJSOLV,Rajesh Solvex Ltd.,Rajesh Solvex Ltd
ROYCMAR,Royce Marine Products Ltd.,Royce Marine Products Ltd
INTWATR,International Water Base Ltd.,International Waterbase Ltd
SAHASAG,Sahas Agro Ltd.,Sahas Agro Ltd
NORBTEAEXP,Norben Tea & Exports Ltd,Norben Tea & Exports Ltd
ASIANTNE,Asian Tea & Exports Ltd.,Asian Tea & Exports Ltd
VISAKAQ,Visakha Aqua Farms Ltd.,Visakha Aqua Farms Ltd
AGRMARI,Agri Marine Exports Ltd.,Agri Marine Exports Ltd
INDOFREB,Indo-French Biotech Enterprises Ltd,Indo French Biotech Enterprise Ltd
KANAFOD,Kanaiya Foods(India) Ltd.,Kanaiya Foods (India) Ltd
VRUNDAG,Vrundavan Agro Industries Ltd.,Vrundavan Agro Industries Ltd
KENGI,Kengold (India) Ltd.,Kengold India Ltd
KJINTFD,K.J.International ltd.,KJ International Ltd
BUBNMAJ,Bubna Major Biotech Ltd.,Bubna Major Bio-Tech Ltd
HERITGFOOD,Heritage Foods Limited,Heritage Foods Ltd
CONFAGR,Confro Agros Ltd.,Confro Agros Ltd
WESTEFD,Western Foods Ltd.,Western Foods Ltd
NEHAINT,Neha International Ltd.,Neha International Ltd
PASEAFD,P.A.Sea Food Exports Ltd.,PA Seafoods Exports Ltd
ORIEVEG,Orient Vegetexpo Ltd.,Orient Vegetexpo Ltd
SIMRAN,Simran Farms Ltd.,Simran Farms Ltd
LAKSHMIO,Lakshmi Overseas Industries Ltd.,Lakshmi Overseas Industries Ltd
UNITYAG,Unity Agrotech Industries Ltd.,Unity Agrotech Industries Ltd
HINDUST,Hindustan Agrigenetics Ltd.,Hindustan Agrigenetics Ltd
INDODFD,Indo-Dutch Proteins Limited,Indo-Dutch Proteins Ltd
JAGDAMD,Jagdamba Foods Ltd.,Jagdamba Foods Ltd
HANUMAN,Hanuman Tea Co. Ltd.,Hanuman Tea Company Ltd
UNTEDFD-B,Unified Agro Industries (India) Ltd,Unified Agro Industries India Ltd
GOLDEFD,Golden Agro-Tech Industries Ltd.,Golden Agro-Tech Industries Ltd
SMILAX,Smilax Industries Limited,Smilax Industries Ltd
DFM,DFM Foods Ltd.,DFM Foods Ltd
CCL,CCL Products (India) Ltd.,CCL Products (India) Ltd
KELLTONTEC,Kellton Tech Solutions Ltd.,Kellton Tech Solutions Ltd
SURFI,Suryo Foods & Industries Ltd.,Suryo Foods & Industries Ltd
INTEGFD,Integrated Proteins Ltd.,Integrated Proteins Ltd
LILACFD,Lilac Exports Ltd.,Lilac Exports Ltd
SUNCITY,Suncity Industries Ltd,Suncity Industries Ltd
LAKESHORE,LAKE SHORE REALTY LIMITED,Lake Shore Realty Ltd
VYVRAUT,Vybra Automet Ltd.,Vybra Automet Ltd
RICOAUTO,RICO Auto Industries Ltd.,Rico Auto Industries Ltd
OMAXAUTO,Omax Autos Ltd.,Omax Autos Ltd
DENSO,Denso India Ltd,Denso India Ltd
MANSAROVARP,Mansarover Paper & Industries Ltd,MANSAROVARP
HELLAIND,Hella India Lighting Ltd,Hella India Lighting Ltd
MUNJALSHOW,Munjal Showa Ltd.,Munjal Showa Ltd
JAMNAAUTO,Jamna Auto Industries Ltd.,Jamna Auto Industries Ltd
TVSHLTD,TVS Holdings Limited,TVS Holdings Ltd
JTEKTINDIA,JTEKT India Limited,Jtekt India Ltd
MUNJALAU,Munjal Auto Industries Ltd.,Munjal Auto Industries Ltd
LAKSHMIAUTO,"Lakshmi Auto Components Ltd.,",Lakshmi Auto Components Ltd
GKNDRDM,GKN Driveshafts (India) Ltd,GKN Driveshafts (India) Ltd
JAYBARMARU,Jay Bharat Maruti Ltd.,Jay Bharat Maruti Ltd
RENZTLB-B,Reinz Talbros Ltd,Reinz Talbros Ltd
NATAUTO,National Auto Accessories Ltd.,National Auto Accessories Ltd
JAPSP,Jai Parabolic Springs Ltd.,Jai Parabolic Springs Ltd
RACLGEAR,RACL Geartech Limited,RACL Geartech Ltd
SAMKRG,Samkrg Pistons and Rings Ltd.,Samkrg Pistons & Rings Ltd
AMTEKAUTO,Amtek Auto Ltd,Amtek Auto Ltd
INDIASTE,India Steamship Co. Ltd.,India Steamship Company Ltd
SICA,-,SOU IND CO A
ECSTSTL,East Coast Steel Ltd,Eastcoast Steel Ltd
SICALLOG,Sical Logistics Limited,Sical Logistics Ltd
SIPNAUT,"Sipani Automobiles Ltd.,",Sipani Automobiles Ltd
ATOTNSN,Auto Tension Limited,Auto Tension Ltd
TVSAUTOL,TVS Autolec Ltd.,TVS Autolec Ltd
ZBAJAJTR,Force Motors Limited,ZBAJAJTR
RATNAMANI,Ratnamani Metals & Tubes Ltd,Ratnamani Metals & Tubes Ltd
VESUVIUS,Vesuvius India Ltd.,Vesuvius India Ltd
BRAKAUT,Brakes Auto (India) Ltd.,Brakes Auto India Ltd
SUNKU,Sunku Auto Ltd.,Sunku Auto Ltd
ASAL,Automotive Stampings and Assemblies Ltd.,Automotive Stampings and Assemblies Ltd
ARCEEIN,Arcee Indusrtries ltd.,Arcee Industries Ltd
ABCINDQ,ABC India Ltd.,ABC India Ltd
DESIGNAU,Design Auto Systems Ltd,Design Auto Systems Ltd
BALTE,Balurghat Technologies Ltd.,Balurghat Technologies Ltd
COARO,Coastal Roadways Ltd.,Coastal Roadways Ltd
ALANGMR-B,Alang Marine Ltd.,Alang Marine Ltd
JAGSONAI,Jagson Airlines Ltd.,Jagson Airlines Ltd
SIBARAUT,Sibar Auto Parts Ltd.,Sibar Auto Parts Ltd
FAIRFIEL,Fairfield Atlas Ltd.,Fairfield Atlas Ltd
CRCARRIDM,CRC Carrier Ltd.,CRC Carrier Ltd
MAFLU,Mafatlal Lubricants Ltd.,Mafatlal Lubricants Ltd
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,Transworld Shipping Lines Ltd
INDCASTDM,India Castor Ltd.,India Castor Ltd
STARLOG,Starlog Enterprises Limited,Starlog Enterprises Ltd
SHVSUIT,Shiva Suitings Ltd.,Shiva Suitings Ltd
TITANIN,TITAN INTECH LIMITED,Titan Intech Ltd
NIWASSP,Niwas Spinning Mills Ltd.,Niwas Spinning Mills Ltd
ANANROT,Anant Rotospin Limited,Anant Rotospin Ltd
EUROTEXIND,Eurotex Industries & Exports Ltd.,Eurotex Industries and Exports Ltd
ICIL,Indo Count Industries Ltd,Indo Count Industries Ltd
MARALOVER,Maral Overseas Ltd.,Maral Overseas Ltd
SURYAJYOTI,Suryajyoti Spinning Mills Ltd.,Suryajyoti Spinning Mills Ltd
AMTEXTL,Amethi Textiles Ltd.,Amethi Textiles Ltd
SHEENA,SHEENA TEXTILES LIMITED,Sheena Textiles Ltd
VEENATX,Veena Textile Ltd,Veena Textiles Ltd
NAKODA,Nakoda Limited,Nakoda Ltd
SOMATEX,Soma Textile & Industries Ltd,Soma Textiles & Industries Ltd
SOURCEIND,Source Industries (India) Ltd,Source Industries (India) Ltd
TAMJAIM,Tamilnadu Jaibharat Mills Ltd,Tamilnadu Jai Bharath Mills Ltd
VANASTEX,Vanasthali Textile Industries Ltd,Vanasthali Textile Industries Ltd
ADVLIFE,Advance Lifestyles Ltd.,Advance Lifestyles Ltd
SALEMTX,Salem Textiles Limited,Salem Textiles Ltd
KAKTEX,Kakatiya Textiles Ltd.,Kakatiya Textiles Ltd
CHESLINTEX,Cheslind Textile Ltd,Cheslind Textiles Ltd
DENIKNI,Denish-Knit Industries Ltd,Denish-Knit Industries Ltd
OCTAVE,Perfect-Octave Media Projects Ltd,Perfect-Octave Media Projects Ltd
TRIDENT,Trident Ltd,Trident Ltd
HISARSP,Hisar Spinning Mills Ltd,Hisar Spinning Mills Ltd
ALOKINDS,Alok Industries Ltd.,Alok Industries Ltd
INTRCRF,Intercraft Ltd.,Intercraft Ltd
KORATEX,Koratla Textiles India Ltd,Koratla Textiles India Ltd
ASIL,Amit Spinning Industries Ltd.,Amit Spinning Industries Ltd
PASARI,Pasari Spinning Mills Ltd.,Pasari Spinning Mills Ltd
SPENTEX,Spentex Industries Ltd.,Spentex Industries Ltd
SAGRAPR,Sagar Apparels Ltd.,Sagar Apparels Ltd
VNYGCLO,Viniyoga Clothex Ltd.,Viniyoga Clothex Ltd
KARNFBR,Karan Fibres And Fabrics ltd.,Karan Fibres & Fabrics Ltd
RAGHUIN,Raghu Industries Ltd.,Raghu Industries Ltd
HINCOTX,Hindustan Cotex Exports Ltd.,Hindustan Cotex Exports Ltd
HLNHOSR,H-Lon Hosiery Ltd.,H-Lon Hosiery Ltd
AMARJOTHI,Amarjothi Spinning Mills Ltd,Amarjothi Spinning Mills Ltd
EMTEXIND,Emtex Industries (I) Ltd.,Emtex Industries India Ltd
AMRAPALI,Amrapali Developers (India) Ltd.,Amrapali Developers India Ltd
OLYMPTX,Olympia Industries Ltd.,Olympia Industries Ltd
SAJJNT,Sajjan Textiles Mills Ltd.,Sajjan Textiles Mills Ltd
NAGREEKEXP,Nagreeka Exports Ltd.,Nagreeka Exports Ltd
SALZETX,Salzer Textiles Ltd.,Salzer Textiles Ltd
SUDTIND-B,Suditi Industries Ltd.,Suditi Industries Ltd
PRSMMIL,Prism Mills Ltd.,Prism Mills Ltd
KKRSONS,Kukar Sons (Indo -French) Exports L,Kukar Sons Indo-French Exports Ltd
SRIMALI,Sri Malini Spinning Mills Ltd.,Sri Malini Spinning Mills Ltd
PEARLGLO,Pearl Global Ltd.,Pearl Global Ltd
DRIND,D.R.Industries Ltd.,DR Industries Ltd
KHTRFIB,Khator Fibre & Fabrics Ltd.,Khator Fibre & Fabrics Ltd
GUJTEXSP,Gujarat Texspin Ltd.,Gujarat Texspin Ltd
SBFL,Shree Bhavya Fabrics Limited,Shree Bhavya Fabrics Ltd
GEMSPIN,Gem Spinners India Ltd,Gem Spinners India Ltd
VJYKMCT,Vijaykumar Mills Ltd.,Vijaykumar Mills Ltd
EUREKAI,Eureka Industries Ltd.,Eureka Industries Ltd
MHGTCXT,Mahaganesh Texpro Ltd,Mahaganesh Texpro Ltd
ADITYASP,Aditya Spinners Ltd.,Aditya Spinners Ltd
JERSETXDM,Jersey India Ltd.,Jersey India Ltd
MILLENNIUM,Millennium Online Solutions (India) Ltd,Millennium Online Solutions ( India ) Ltd
PRIMEURB,Prime Urban Development India Ltd,Prime Urban Development India Ltd
DHANFAB,Dhanlaxmi Fabrics Ltd.,Dhanlaxmi Fabrics Ltd
PEGAPPA,Pegasus Apparels Ltd.,Pegasus Apparels Ltd
PERSCAR,Persian Carpet & Textiles ltd.,Persian Carpet & Textiles Ltd
SLSTLQ,Sri Lakshmi Saraswathi Textiles (Ar,Sri Lakshmi Saraswathi Textiles Arni Ltd
ZODIACLOTH,Zodiac Clothing Co. Ltd.,Zodiac Clothing Company Ltd
ANACOTS,Anand Cotspin ltd.,Anand Cotspin Ltd
MAXGROW,MAXGROW INDIA LIMITED,Maxgrow India Ltd
DENIMFS,Denim Fashions Ltd.,Denim Fashions Ltd
SSMILLS,SSM Mills Ltd.,SSM Mills Ltd
ARORAFIB,Arora Fibres Ltd.,Arora Fibres Ltd
GANGOTRI,Gangotri Textiles Ltd.,Gangotri Textiles Ltd
SRMCL,Sri Ramakrishna Mills (Coimbatore) Ltd.,Sri Ramakrishna Mills Coimbatore Ltd
SUPERSPIN,Super Spinning Mills Ltd.,Super Spinning Mills Ltd
SEASONF,Seasons Furnishings Ltd.,Seasons Furnishings Ltd
PRECM,Precot Mills Ltd.,Precot Mills Ltd
UNITEDTE,United Textiles Ltd.,United Textiles Ltd
PANCLTH,Pan Clothing & Consolidated Co. Ltd,Pan Clothing & Conso Company Ltd
NEPCTEX,NEPC Textiles Ltd.,NEPC Textiles Ltd
SILINV,SIL Investments Ltd,SIL Investments Ltd
RAVISPN,Ravi Spinning Limited,Ravi Spinning Ltd
SURYALAXMI,Suryalakshmi Cotton Mills Ltd.,Suryalakshmi Cotton Mills Ltd
SIDHART,Siddhartha Spinfab Ltd.,Siddhartha Spinfab Ltd
SAMTEX,Samtex Fashions Ltd.,Samtex Fashions Ltd
ATLANTSP,Atlantic Spinning & Weaving Mills L,Atlantic Spinning & Weaving Mills Ltd
CITYMAN,Cityman Limited,Cityman Ltd
BALWTEX,Balwant Textiles Mills Ltd.,Balwant Textile Mills Ltd
KESARTX,Keshariya Spinners Ltd.,Keshariya Spinners Ltd
DHANROTO,Dhanalaxmi Roto Spinners Ltd.,Dhanalaxmi Roto Spinners Ltd
DELIHND,Delight Handicrafts Palace Ltd.,Delight Handicraft Palace Ltd
DAMODARIND,Damodar Industries Limited,Damodar Industries Ltd
SANBLUE,Sanblue Corporation Limited,Sanblue Corporation Ltd
KONGATX,Kongarar Textiles  Ltd.,Kongarar Textiles Ltd
UNIROYAL,Uniroyal Industries Ltd,Uniroyal Industries Ltd
TATIAGLOB,Tatia Global Vennture Limited,Tatia Global Vennture Ltd
GOLDTXT,Goldwon Textiles Ltd.,Goldwon Textiles Ltd
SUNILTX,Sunil Industries Ltd.,Sunil Industries Ltd
SRINACHA,Sri Nachammai Cotton Mills Ltd.,Sri Nachammai Cotton Mills Ltd
SROGNGM,Sri Ganapathy Mills Co. Ltd.,Sri Ganapathy Mills Company Ltd
BGDL,BHARAT GLOBAL DEVELOPERS LIMITED,Bharat Global Developers Ltd
SAMBANDAM,Sambandam Spinning Mills Ltd.,Sambandam Spinning Mills Ltd
KANDAGIRI,Kandagiri Spinning Mills Ltd.,Kandagiri Spinning Mills Ltd
MKPMOB,MKP Mobility Limited,MKP Mobility Ltd
PARASPETRO,Paras Petrofils Ltd.,Paras Petrofils Ltd
KITEX,Kitex Garmenets Ltd.,Kitex Garments Ltd
SRUMATX,Sree Uma Parameswari Mills Ltd.,Sree Uma Parameswari Mills Ltd
RADHIKAS,Radhika Spinning Mills Ltd.,Radhika Spinning Mills Ltd
CRANEX,Cranex Ltd.,Cranex Ltd
BATLIBOI,Batliboi Ltd,Batliboi Ltd
AUSTENG,Austin Engineering Co. Ltd.,Austin Engineering Company Ltd
UNIDT,United Drilling Tools Ltd.,United Drilling Tools Ltd
VCCLLTD,VCCL Ltd.,VCCL Ltd
FLUIDOM,Fluidomat Ltd.,Fluidomat Ltd
EMAINDIA,Ema India Ltd.,EMA India Ltd
WINDMACHIN,Windsor Machines Limited,Windsor Machines Ltd
SHANTIGEAR,Shanthi Gears Ltd.,Shanthi Gears Ltd
MIVENMACH,Miven Machine Tools Ltd.,Miven Machine Tools Ltd
CNTLVAL,Continental Valve Ltd,Continental Valve Ltd
SMENER,S.M. Energy Teknik & Electronics Lt,SM Energy Teknik & Electronics Ltd
ATURIAC,Aturia Continental ltd.,Aturia Continental Ltd
BEMCOJK,"Bemco Jacks & Allied Prod. Ltd.,",Bemco Jacks & Allied Prods Ltd
SACHI,Sachs India Ltd.,Sachs India Ltd
INDAGEVIN,Indage Vintners Ltd,Indage Vintners Ltd
KAVIENGDM,"Kaveri Engineering Industries Ltd.,",Kaveri Engineering Industries Ltd
HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED,Honda India Power Products Ltd
SHRIHON,HONDA INDIA POWER PRODUCTS LIMITED,SHRIHON
HITECHGEAR,The Hi-Tech Gears Limited,The Hi-Tech Gears Ltd
ELGIEQUIP,Elgi Equipments Ltd.,Elgi Equipments Ltd
ELBSCHF,ELB Schliff (India) Ltd.,ELB Schliff (India) Ltd
TERRUZZI,Terruzzi Fercalx India Limited,Terruzzi Fercalx India Ltd
STONEIN,Stone India Ltd.,Stone India Ltd
UVDRHOR,United Van Der Horst Ltd.,United Van Der Horst Ltd
WELII,"Wellman Incandescent India Ltd.,",Wellman Incandescent India Ltd
INCEN,Incorporated Engineers Limited,Incorporated Engineers Ltd
ZINDUCIN,Inducon India Limited,Inducon India Ltd
KLBRENG-B,Kilburn Engineering Ltd,Kilburn Engineering Ltd
GRMHCNCDM,Gremach CNC Ltd,Gremach CNC Ltd
BIRLAPREC,Birla Precision Technologies Ltd,Birla Precision Technologies Ltd
VIPCORP,Vipras Corporation Ltd,Vipras Corporation Ltd
YUKEN,Yuken India Ltd.,Yuken India Ltd
TIMKEN,Timken India Ltd,Timken India Ltd
ALXNXTR,Alexcon Extrusions Ltd,Alexcon Extrusions Ltd
TEXTOOL,Textool Company Ltd,Textool Company Ltd
ZMEEKTRA,"Meekan Transmissions Ltd.,",Meekan Transmissions Ltd
VOITHPAPR,Voith Paper Fabrics India Ltd,Voith Paper Fabrics India Ltd
HEATSHRINKT,Heatshrink Technologies Ltd.,Heatshrink Technologies Ltd
VIDIANI,Vidiani Engineers Ltd,Vidiani Engineers Ltd
ARTSON,ARTSON LIMITED,Artson Ltd
BHAGEENG,Bhageeratha Engg. Ltd,Bhagheeratha Engineering Ltd
PATNIEN,Patni Engineering Limited,Patni Engineering Ltd
TECHFOR,Techno Forge Limited,Techno Forge Ltd
GORDONHE,Gordon Herbert (India) Ltd,Gordon Herbert India Ltd
ADTYFRG,Aditya Forge Ltd,Aditya Forge Ltd
SOLIMAC,Solitaire Machine Tools Ltd,Solitaire Machine Tools Ltd
SOLRSNI,Solarson Industries Limited,Solarson Industries Ltd
BANKA,Banka (India) Ltd.,Banka India Ltd
DIACABS,Diamond Power Infrastructure Limited,Diamond Power Infrastructure Ltd
INDSILHYD,Indsil Hydro Power and Manganese Limited,Indsil Hydro Power and Manganese Ltd
FLEXENG,Flex Engineering Ltd.,Flex Engineering Ltd
SNEHDHR,Snhehadhara Industries ltd.,Snhehadhara Industries Ltd
TMTIND-B1,TMT (India) ltd.,TMT India Ltd
KRISHNAENG,Krishna Engineering Works Ltd.,Krishna Engineering Works Ltd
SVOGL,SVOGL Oil Gas and Energy Limited,SVOGL Oil Gas And Energy Ltd
PRFASDM,Precision Fasteners Ltd.,Precision Fasteners Ltd
ITL,ITL Industries Ltd.,ITL Industries Ltd
TTGINDM,TTG Industries Ltd.,TTG Industries Ltd
KNDENGT,KND Engeneering Technologies Ltd.,KND Engineering Technologies Ltd
BILINDU,BIL Industries Ltd.,BIL Industries Ltd
FRONTSP,Frontier Springs Ltd.,Frontier Springs Ltd
MONOZYM,Monozyme India Ltd.,Monozyme India Ltd
AAKARENG,Aakar Engineering &Manufacturing Co,Aakar Engineering & Manufacturing Company Ltd
CHAININ,Chain Impex Ltd.,Chain Impex Ltd
PRAJIND,Praj Industries Ltd.,Praj Industries Ltd
RASANDIK,Rasandik Engg. Industries India Ltd,Rasandik Engineering Industries India Ltd
YOGISUNG,Yogi Sung-won (India) Ltd.,Yogi Sungwon (India) Ltd
RAJBALL,Rajasthan Balls & Bearings Ltd.,Rajasthan Ball & Bearings Ltd
HLEGLAS,HLE GLASCOAT LIMITED,HLE Glascoat Ltd
GUJAPOLLO,Gujarat Apollo Industries Ltd.,Gujarat Apollo Industries Ltd
HYDFLEXI,Hyderabad Flextech Ltd.,Hyderabad Flextech Ltd
SRILAEG,Sri Lakshmi Engineering Industries,Sri Lakshmi Engineering Industries Ltd
MARTELI,Maruti Telstar Industries Ltd.,Maruti Telstar Industries Ltd
TANAA,Taneja Aerospace & Aviation Ltd.,Taneja Aerospace & Aviation Ltd
CONART,Conart Engineers Ltd.,Conart Engineers Ltd
VHCLINDUS,VHCL Industries Limited,VHCL Industries Ltd
MINALIND,Minal Industries Limited,Minal Industries Ltd
SHIVAGR,Shivagrico Implements Ltd.,Shivagrico Implements Ltd
MMFL,M.M.Forgings Ltd.,MM Forgings Ltd
LAKSRAT,Laxmiratan Engineering Works Ltd.,Lakshmiratan Engineering Works Ltd
IYKOTHITE,Iykot Hitech Toolroom Ltd,Iykot Hitech Toolroom Ltd
MAYURUNIQ,Mayur Uniquoters ltd.,Mayur Uniquoters Ltd
CENLUB,Cenlub Industries Ltd.,Cenlub Industries Ltd
FORGBLO,Forge & Blower Industries Ltd.,Forge & Blower Industries Ltd
RAJOOENG,Rajoo Engineers Ltd.,Rajoo Engineers Ltd
KALINDEE,Kalindee Rail Nirman (Engineers) Lt,Kalindee Rail Nirman (Engineers) Ltd
DOLPHIN,Dolphin Offshore Enterprises (India) ltd.,Dolphin Offshore Enterprises (India) Ltd
JMCPROJECT,JMC Projects (india) Ltd.,JMC Projects (India) Ltd
VJLAXMIE,Veejay Lakshmi Engineering Works Lt,Veejay Lakshmi Engineering Works Ltd
COVENSP-B,Coventry Spring & Engineering Co. L,Coventry Spring & Engineering Company Ltd
UNIONBE,Union Bearings (India) Ltd.,Union Bearings India Ltd
AHMDSTE,Ahmedabad Steelcraft Ltd.,Ahmedabad Steelcraft Ltd
